date,title,amount
2025-04-04,Bar e Mercearia Harmon,14.00
2025-04-04,Cabral e Sousa,2.82
2025-04-03,Posto V8,15.99
2025-04-02,Cabral e Sousa,6.80
2025-04-02,Leilapastel,12.00
2025-04-02,Sup Mix Supermercado,4.49
2025-04-02,Eronlemosxavier,3.75
2025-04-01,Amazon Servicos de Var,19.90
2025-04-01,Eronlemosxavier,3.75
2025-04-01,Pereira Atakarejo,19.43
2025-04-01,Bar e Mercearia Harmon,3.75
2025-03-31,Jotaconvenien,20.20
2025-03-31,Sup Mix Supermercado,11.37
2025-03-30,Asa*Iot Conect Solucoe,15.00
2025-03-29,LOJA DE CONVENIENCIAS MR,8.21
2025-03-29,iFood - NuPay,67.00
2025-03-29,55.189.477 Gilmar Alme - Parcela 1/12,120.37
2025-03-29,LOJA DE CONVENIENCIAS MR,18.49
2025-03-29,Racing Moto Pecas,28.00
2025-03-25,Gran Centro Universita,109.89
2025-03-24,Ponto do Pedral Acai &,19.00
2025-03-12,Pagamento recebido,-174.17
2025-03-11,Pereira Atakarejo,26.87
2025-03-09,Sup Mix Supermercado,30.65
2025-03-08,Ifd*Ifood Club,5.95
2025-03-08,Pao de Acucar,7.00
2025-03-08,Eronlemosxavier,23.50
2025-03-07,Bar e Mercearia Harmon,5.75
2025-03-07,Pereira Atakarejo,15.99
2025-03-07,Sup Mix Supermercado,17.06
2025-03-07,Cabral e Sousa,6.87
2025-03-06,Bar e Mercearia Harmon,5.75
2025-03-06,Cabral e Sousa,5.31
2025-03-05,Isa Karolina Soares C,25.00
2025-03-05,Sup Mix Supermercado,13.97
