date,title,amount
2025-08-04,Bar e Mercearia Harmon,9.50
2025-08-04,Conveniencia Aguia,35.99
2025-08-03,Pereira Atakarejo,7.98
2025-08-03,Pereira Atakarejo,33.93
2025-08-03,Pg *99 Ride,7.10
2025-08-03,Dl*99 Ride,7.10
2025-08-02,Dl*99 Ride,9.90
2025-08-02,Cappta *Churrascaria e,61.24
2025-08-02,Dl*99 Ride,4.90
2025-08-02,Gildasiosilveira,10.00
2025-08-01,Bar e Mercearia Harmon,11.25
2025-08-01,Amazon Servicos de Var,19.90
2025-08-01,Cabral e Sousa,6.39
2025-07-31,Conveniencia Aguia,23.99
2025-07-31,Eronlemosxavier,11.25
2025-07-31,Eronlemosxavier,3.75
2025-07-31,Bom Preco Mercado e Ho,25.00
2025-07-30,Pereira Atakarejo,20.00
2025-07-30,Raiadrogasilsa,77.13
2025-07-30,Gildasiosilveira,10.00
2025-07-30,Bar e Mercearia Harmon,3.75
2025-07-29,iFood - NuPay,34.96
2025-07-29,Gran Centro Universita,109.89
2025-07-27,Burger King,49.90
2025-07-27,Supermercado Central,33.56
2025-07-26,Pg *99 Ride,8.80
2025-07-26,Dl*99 Ride,4.90
2025-07-16,Pag*Steam - Parcela 1/3,16.00
2025-07-16,iFood - NuPay,61.98
2025-07-13,Pg *99 Ride,21.80
2025-07-09,Super Mix Supermercado,5.19
2025-07-08,Ifd*Ifood Club,5.95
2025-07-08,Cabral e Sousa,9.83
2025-07-07,Super Mix Supermercado,32.14
2025-07-07,Pagamento recebido,-782.99
2025-07-06,Pereira Atakarejo,66.25
2025-07-05,Conveniencia Aguia,14.97
2025-07-05,Pereira Atakarejo,14.45
2025-07-05,55.189.477 Gilmar Alme - Parcela 5/12,120.33
2025-07-05,Hna*O Boticario - Parcela 2/3,76.63
2025-07-05,Pereira Atakarejo,15.78
2025-07-05,Marlonribeirode - Parcela 2/3,83.33
